imdb_id,title,topic,cluster,umap_x,umap_y,hit_score
tt6294706,The Chi,9,3,0.0145,-0.0367,25.071589748556327
tt6971264,The Rich and Lazarus,-1,-1,0.0638,-0.0281,22.394638836544065
tt7056766,Reunited Worlds,5,0,0.0209,-0.0169,25.211497188680244
tt6881870,Frankie Drake Mysteries,0,1,0.0556,-0.0338,25.06908437911161
tt6064882,Room 104,-1,-1,0.0188,-0.0629,24.452494588690268
tt6607810,La piloto,10,1,0.0858,-0.0266,13.999492651060358
tt6402362,Hard Sun,-1,-1,0.0857,-0.0659,24.97915982178928
tt6856484,Ghost Wars,-1,-1,0.0121,-0.0009,23.028996128687293
tt7516210,The King's Woman,5,0,0.0219,-0.0878,22.03191038136826
tt7124904,Tomorrow Is Ours,0,1,0.0116,-0.0702,7.156172531073255
tt5620962,I Am Frankie,-1,-1,0.059,0.0003,22.90458065832138
tt6708260,Trust Me,4,1,0.0368,-0.0729,22.92064376904915
tt6768146,Rellik,0,1,0.0475,-0.0758,24.24877783919608
tt6128262,Gunpowder,12,2,0.051,-0.0448,25.604449692241545
tt7468900,Borderliner,0,1,0.0797,-0.093,23.13219959373143
tt6130902,Lore,-1,-1,0.032,0.0405,24.03146962147548
tt1210820,The Long Road Home,12,2,0.0535,-0.0831,21.602198836813905
